NAME,DESCRIPTION,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,Lat,Lng,ICON_NAME
BRIGHT KIDS @ PASIR RIS PTE LTD,Child Care Services,510764,"764, PASIR RIS STREET 71, #01 - 246, SINGAPORE 510764",1.37625622433953,103.934473875575,onemap-fc-childcare.png
BRIGHT KIDS SCHOOL HOUSE PTE LTD,Child Care Services,820192,"192, PUNGGOL CENTRAL, #01 - 311, SINGAPORE 820192",1.39977091511768,103.90951433417,onemap-fc-childcare.png
BRIGHT KIDS SCHOOL HOUSE PTE LTD,Child Care Services,824173,"173D, PUNGGOL FIELD, #01 - 635, SINGAPORE 824173",1.39600798395769,103.91076468946,onemap-fc-childcare.png
BRIGHT KIDS SCHOOL HOUSE PTE LTD,Child Care Services,824175,"175D, PUNGGOL FIELD, #01 - 531, SINGAPORE 824175",1.39847058842792,103.907769347106,onemap-fc-childcare.png
BRIGHT PATH INCLUSIVE PRESCHOOL,Child Care Services,286846,"55, FAIRWAYS DRIVE, SINGAPORE 286846",1.34260153311301,103.796693189141,onemap-fc-childcare.png
BRIGHT SPARKS CHILDCARE LLP,Child Care Services,730401,"401, WOODLANDS STREET 41, #01 - 30, SINGAPORE 730401",1.43044857202337,103.772774073681,onemap-fc-childcare.png
BRIGHTON MONTESSORI CENTRES PTE LTD,Child Care Services,248342,"456, RIVER VALLEY ROAD, #01 - 01, CRYSTAL COURT, SINGAPORE 248342",1.29414630778904,103.826988042286,onemap-fc-childcare.png
BRIGHTON MONTESSORI CENTRES PTE. LTD.,Child Care Services,568046,"190, ANG MO KIO AVENUE 8, #02 - 01, SINGAPORE 568046",1.38070847224411,103.846499628572,onemap-fc-childcare.png
BRIGHTON MONTESSORI CENTRES PTE. LTD.,Child Care Services,437764,"764, MOUNTBATTEN ROAD, SINGAPORE 437764",1.29998442043811,103.892519298146,onemap-fc-childcare.png
BRIGHTON MONTESSORI INTERNATIONAL PRE-SCHOOL @ FRANKEL,Child Care Services,458235,"125, FRANKEL AVENUE, SINGAPORE 458235",1.31356350947275,103.919891267004,onemap-fc-childcare.png
BRIGHTON MONTESSORI INTERNATIONAL PRE-SCHOOL @ SUNSET,Child Care Services,597071,"41, SUNSET WAY, #02 - 01/02, CLEMENTI ARCADE, SINGAPORE 597071",1.32325039723408,103.767260057442,onemap-fc-childcare.png
BRIGHTYEARS CHILDCARE CENTRE PTE LTD,Child Care Services,415934,"1, KAKI BUKIT ROAD 1, #01 - 32, ENTERPRISE ONE, SINGAPORE 415934",1.33274847724842,103.902616367273,onemap-fc-childcare.png
BRILLIANT KIDS LEARNING COVE,Child Care Services,659206,"91, BUKIT BATOK WEST AVENUE 2, #02 - 02, CLUB CSC @ BUKIT BATOK, SINGAPORE 659206",1.35263032716164,103.74928403005,onemap-fc-childcare.png
BRILLIANT TOTS @ HOUGANG PTE. LTD,Child Care Services,347836,"2, TAI THONG CRESCENT, #01 - 08, THE VENUE SHOPPES, SINGAPORE 347836",1.32885088910745,103.8691846812,onemap-fc-childcare.png
Brilliant Tots @ Kensington,Child Care Services,537846,"2 Jalan Lokam, #01-37, Kensington Square, Singapore 537846",1.3456071909914,103.882695131117,onemap-fc-childcare.png
BRILLIANT TOTS ACADEMY PTE. LTD.,Child Care Services,556141,"26, SERANGOON AVENUE 1, SINGAPORE 556141",1.34736423804739,103.876770356586,onemap-fc-childcare.png
BRILLIANT TOTS INFANT AND CHILDCARE,Child Care Services,809045,"28, JALAN KELULUT, SELETAR HILLS ESTATE, SINGAPORE 809045",1.38344072728497,103.87548970328,onemap-fc-childcare.png
BRILLIANT TOTS PRESCHOOL PTE LTD,Child Care Services,569163,"50, ANG MO KIO STREET 61, #03 - 01, YIO CHU KANG COMMUNITY CENTRE, SINGAPORE 569163",1.38151727157775,103.841428124035,onemap-fc-childcare.png
BRILLIANT TOTS PTE. LTD.,Child Care Services,640610,"610, JURONG WEST STREET 65, #01 - 534, SINGAPORE 640610",1.33832453161366,103.7008562193,onemap-fc-childcare.png
Bubbles Montessori Preschool,Child Care Services,560340,"340, ANG MO KIO AVENUE 1, #01 - 1681, TECK GHEE COURT, SINGAPORE 560340",1.36445048918861,103.84946401992,onemap-fc-childcare.png
BUBBLESLAND PLAYHOUSE PTE LTD,Child Care Services,540238,"238, COMPASSVALE WALK, #01 - 542, SINGAPORE 540238",1.39044008070727,103.898663984121,onemap-fc-childcare.png
BUCKET HOUSE PRESCHOOL,Child Care Services,737856,"39, WOODLANDS CLOSE, #01 - 62, MEGA@WOODLANDS, SINGAPORE 737856",1.43801690652432,103.806814794945,onemap-fc-childcare.png
BUMBLE BEE CHILD CARE CENTRE,Child Care Services,730369,"369, WOODLANDS AVENUE 1, #01 - 853, SINGAPORE 730369",1.43343619305758,103.787422684965,onemap-fc-childcare.png
BUSY BEES SINGAPORE PTE LTD,Child Care Services,542327,"327B, ANCHORVALE ROAD, #01 - 322, SINGAPORE 542327",1.39564692220641,103.888633285605,onemap-fc-childcare.png
BUSY BEES SINGAPORE PTE LTD,Child Care Services,821211,"211A, PUNGGOL WALK, #01 - 623, SINGAPORE 821211",1.40175983928655,103.899944349715,onemap-fc-childcare.png
BUSY BEES SINGAPORE PTE LTD,Child Care Services,757044,"2, GAMBAS CRESCENT,  - 01-03, NORDCOM II, SINGAPORE 757044",1.44318523217238,103.815768797809,onemap-fc-childcare.png
