NAME,DESCRIPTION,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,Lat,Lng,ICON_NAME
PRIME SUPERMARKET LIMITED,J94081B000,763,JURONG WEST STREET 75,1,640763,1.34872643268225,103.698292007732,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,C02033V000,154A,BUKIT BATOK WEST AVENUE 8,1,651154,1.34737179952411,103.743698115504,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,C02046K000,1,BUKIT BATOK CENTRAL LINK,1,658713,1.3501891589254,103.749021982726,supermarketlogo.jpg
TANESEI RETAILING PTE. LTD.,NE18406E000,2,TAMPINES CENTRAL 5,6,529509,1.3523611297845,103.943784815991,supermarketlogo.jpg
LITTLE FARMS PTE. LTD.,CE16M43E000,7,WALLICH STREET,6,78884,1.27672493204774,103.845155396186,supermarketlogo.jpg
MAHOTA FOOD PTE. LTD.,S02041P000,2,TAMPINES CENTRAL 5,7,529509,1.3523611297845,103.943784815991,supermarketlogo.jpg
SONG FISH DEALER PTE LTD,NE18339P000,2,TAMPINES CENTRAL 5,8,529509,1.3523611297845,103.943784815991,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,SW12M64L000,25,GHIM MOH LINK,11,270025,1.30811886968959,103.786049389035,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,CE12J32X000,2,ANG MO KIO DRIVE,12,567720,1.3778920308286,103.856411982148,supermarketlogo.jpg
ISYMI PTE LTD,NE18066E000,183,JALAN PELIKAT,12,537643,1.35530903339479,103.887857189653,supermarketlogo.jpg
THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,SE18169X000,11,TANJONG KATONG ROAD,15,437157,1.31469214115978,103.894480527876,supermarketlogo.jpg
TOH GUAN MINI MART PTE LTD,SW06002X000,19,TOH GUAN ROAD EAST,65,608568,1.33832657868868,103.753536116977,supermarketlogo.jpg
KADER HASNA MARICAN,J03027B000,17,KIAN TECK LANE,65,627851,1.33314577537318,103.695248113879,supermarketlogo.jpg
"TANG KER AN, TIMOTHY",SE17401C000,18,BEDOK SOUTH ROAD,67,460018,1.3206250589085,103.934734229515,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,B02060V000,256,BANGKIT ROAD,69,670256,1.37904775569569,103.772937487064,supermarketlogo.jpg
MM SUNDRY SHOP PTE.LTD.,NW07726J000,27,WOODLANDS SECTOR 1,70,738252,1.45464654784747,103.804476738376,supermarketlogo.jpg
