school_name,address,postal_code,sap_ind,gifted_ind,Lat,Lng
ST. HILDA'S PRIMARY SCHOOL,2    Tampines Ave 3,529706,No,Yes,1.34934960586367,103.936865693533
ST. JOSEPH'S INSTITUTION JUNIOR,3    ESSEX ROAD,309331,No,No,1.31781476118551,103.845633334522
ST. MARGARET'S PRIMARY SCHOOL,2    Mattar Road,387724,No,No,1.32436096241691,103.881658715222
ST. STEPHEN'S SCHOOL,20   SIGLAP VIEW,455789,No,No,1.31878279235375,103.917372254203
STAMFORD PRIMARY SCHOOL,1    VICTORIA LANE,198423,No,No,1.30385959862559,103.856955133139
TAMPINES NORTH PRIMARY SCHOOL,30   TAMPINES AVENUE 9,529565,No,No,1.36048786025607,103.948768900518
TAMPINES PRIMARY SCHOOL,250  TAMPINES STREET 12,529426,No,No,1.34994333795888,103.943402379754
TANJONG KATONG PRIMARY SCHOOL,10   Seraya Road,437259,No,No,1.30498489044822,103.899999965407
TAO NAN SCHOOL,49   MARINE CRESCENT,449761,Yes,Yes,1.30460898085751,103.911502213437
TECK GHEE PRIMARY SCHOOL,1    ANG MO KIO STREET 32,569299,No,No,1.36565018546903,103.851009800453
TECK WHYE PRIMARY SCHOOL,11   TECK WHYE WALK,688261,No,No,1.38388660469396,103.753924558586
TELOK KURAU PRIMARY SCHOOL,50   BEDOK RESERVOIR RD,479239,No,No,1.33109611001931,103.911005345855
TEMASEK PRIMARY SCHOOL,501  BEDOK SOUTH AVE 3,469300,No,No,1.31768525061137,103.945505085146
TOWNSVILLE PRIMARY SCHOOL,3    ANG MO KIO AVE 10,569730,No,No,1.35994649477568,103.853768994775
UNITY PRIMARY SCHOOL,21   CHOA CHU KANG CRESCENT,688268,No,No,1.40285481877246,103.746822625758
VALOUR PRIMARY SCHOOL,49   Punggol Central,828728,No,No,1.40683570215319,103.899078139493
WATERWAY PRIMARY SCHOOL,70   Punggol Drive,828802,No,No,1.39889261226315,103.918585924582
WELLINGTON PRIMARY SCHOOL,10   WELLINGTON CIRCLE,757702,No,No,1.45192019155475,103.822303719094
WEST GROVE PRIMARY SCHOOL,1    JURONG WEST ST 72,649223,No,No,1.34471211768915,103.698964212988
WEST SPRING PRIMARY SCHOOL,60   Bukit Panjang Ring Road,679946,No,No,1.38944145898943,103.766195711835
WEST VIEW PRIMARY SCHOOL,31   SENJA ROAD,677742,No,No,1.3836758200336,103.760240434318
WESTWOOD PRIMARY SCHOOL,1    Jurong West Street 73,649188,No,No,1.34718456606375,103.70053420978
WHITE SANDS PRIMARY SCHOOL,2    PASIR RIS ST 11,519075,No,No,1.36563610941695,103.960861814678
WOODGROVE PRIMARY SCHOOL,2    WOODLANDS DRIVE 14,738079,No,No,1.43273620725049,103.79023031392
WOODLANDS PRIMARY SCHOOL,10   WOODLANDS DRIVE 50,738853,No,No,1.43658270720199,103.791791282236
